/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//st__eliyah_childrens_choir-we_are_guarded_by_the_cross-11-meet_it_is-117-146.mp3,46139 (EXCERPT),11,[0.00339423],80.27610778808594,1016.3785612846162
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ammonite-reconnection-04-restrained_mind-88-117.mp3,Restrained Mind (EXCERPT),Ammonite,[0.00611552],105.0400390625,2334.5014824411696
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//american_bach_soloists-j_s__bach__cantatas_volume_v-15-nun_komm_der_heiden_heiland_bwv_61_iii_aria__komm_jesu_komm_zu_deiner_kirche-146-175.mp3,-Nun komm der Heiden Heiland BWV 61_ III Aria - Komm Jesu komm zu deiner Kirche- (EXCERPT),American Bach Soloists,[0.00098339],94.86970520019531,1259.442776525108
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//ammonite-reconnection-11-touch-378-407.mp3,Touch (EXCERPT),Ammonite,[0.01949206],139.9843292236328,2437.268991441705
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//musica_franca-corrette__le_phenix__les_delices_de_la_solitude-10-sonata_iii_in_c_major__allemanda-30-59.mp3,Sonata III in C major - Allemanda (EXCERPT),Musica Franca,[0.00208889],172.26559448242188,1210.9947460540905
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//rapoon-what_do_you_suppose-07-how_many_of_you_did_not_know_that-204-233.mp3,How many of you did not know that (EXCERPT),Rapoon,[0.00193023],84.86919403076172,953.921461761738
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//very_large_array-stuff-01-magnified-59-88.mp3,Magnified (EXCERPT),Very Large Array,[0.02514366],120.39400482177734,2258.27566554134
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//mutandina-mutandina-11-quaker-59-88.mp3,Quaker (EXCERPT),Mutandina,[0.01205364],103.0335693359375,1948.7713801651862
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//paul_beier-simone_molinaro-04-saltarello_del_predetto_ballo-30-59.mp3,Saltarello del predetto ballo (EXCERPT),Paul Beier,[0.01667716],99.64139556884766,915.4651937762386
/content/drive/Shared drives/ECE160-Visell-2020/Media Files/similarity_dataFolderSubset//reza_manzoori-restrung-12-summer_night-233-262.mp3,Summer Night (EXCERPT),Reza Manzoori,[0.01128549],86.9074935913086,1962.7461132634883
